,BRCA,KIRC,THCA,LUAD,PRAD,LUSC,LIHC,HNSC,COAD,STAD,KIRP,KICH,UCEC,BLCA,ESCA,CHOL,READ,PAAD,PCPG,CESC,SARC,THYM
B.cells.naive,0.3357052618945597,0.27075227843672073,0.424022550324406,0.47589416294818454,0.25112745059790526,0.11396090237574204,-0.018670467419736363,0.10393572159296008,-0.019024545236249968,0.01528874569117582,0.1828016961477503,0.1784324187516588,0.09158053266539821,0.16720352531994134,0.18769369947535575,0.22317152763689393,0.016115948874631345,0.08058288028121878,-0.517289181779342,-0.5265651138772698,-1.0,
B.cells.memory,0.049974949850453636,0.15039770568713687,0.19780924225162486,-0.06562176134749916,0.024967162158317492,-0.04213500094582971,-0.10785889470270789,0.06236201455444142,-0.07922291193321508,-0.2538377659357884,0.3613186935410387,-0.21827302751347882,-0.08249226977095235,0.32562852031375566,0.7766720777104039,-0.015472810970947944,-0.0659094468291952,-0.028731097494811883,0.6958557982518424,,,-1.0
Plasma.cells,0.10879448121881707,0.06481183947494776,0.19536728549264853,0.3122391662212468,0.18417431322254263,0.32795314541975773,0.12604686743618485,0.0021541097858801365,0.03763756582435203,0.09722147623745192,0.0510530891796032,0.15900795481545782,0.12973536582163647,-0.09980292561868337,0.15940981590915,-0.12246924114540782,-0.022572207732732767,0.29472668568351135,0.42176308535323204,-0.2512533973697766,-1.0,-1.0
T.cells.CD8,0.280466724232698,-0.026212123563507776,-0.18980522953068063,0.1937671729136988,0.3092944023930598,0.05331244183006504,0.02169634170461201,0.0011285355189059923,0.404048270526839,0.2771306114191183,-0.044734966507275355,-0.20716486913581272,0.26311983343104195,0.4932895478350659,0.31024059945519594,-0.05743631336386152,-0.4421340892039087,0.34290435370802036,-0.28127517351373194,0.917529222334683,-1.0,1.0
T.cells.CD4.naive,,,-0.025626656118328674,,,-0.03325860686240195,,,,,,,,,,,,,,,,1.0
T.cells.CD4.memory.resting,0.19268112122253306,0.21882163685928255,0.3786110653976412,0.2731946410115708,0.326104662259545,-0.012771375721712004,0.30661935104359994,0.16717693645477094,0.18385973483079984,0.39984417272517386,-0.02675089980145985,0.024803871010763312,0.3058342408655629,0.47629800662678057,0.5763467936458422,-0.40611370630347,-0.004677714200206674,-0.026472822542373455,-0.24001300098440542,0.7830988469396979,1.0,
T.cells.CD4.memory.activated,0.008677819950936411,-0.024330850689960073,-0.032163342330889196,0.5387767493294323,,0.013358282627539176,0.031265445908907695,-0.09263036766344497,-0.10177286068712216,-0.0653746068929864,,,,0.7330041542542588,-0.198278139166271,,,,,,,-1.0
T.cells.follicular.helper,0.2598545718641965,0.20840532225039132,0.386401008074734,0.11742353818731564,0.22376564213383582,0.09469876279695681,0.027962231269342074,-0.015315416009633176,0.23585407283605894,0.2097841384331612,0.5948032490307529,-0.03633015572580001,0.10353034981679828,0.0616970849092282,0.3510127482734483,0.41526429034870277,0.06284360541568033,0.8704707569304057,0.9994869937951478,-0.7967154701072434,0.9999999999999999,1.0
T.cells.regulatory..Tregs.,0.06800551941409295,0.18640046933660515,0.14156188416942894,-0.037352783377699664,0.3738003859893396,0.12944944696114785,0.18930772189274891,0.42798151875417145,0.2986182718394464,0.13408730993961018,0.2625077524729686,0.16819088148060585,0.0635746021952563,0.31720484481871747,0.634401889216503,-0.21109317784355064,-0.07062939982490357,0.5492089573683656,,-0.8248668402189224,-1.0,-1.0
T.cells.gamma.delta,0.009870669567828496,0.0689008264548972,-0.04328570508453504,,,,-0.01886472849317403,-0.035755261221896185,-0.03165636506609865,,,-0.07991569829946549,-0.07657455938967397,,,,,,,,,
NK.cells.resting,0.07382897831357928,0.033717261720581516,0.18222958123832514,0.28768179606796335,-0.09737289159296683,0.16837686784285125,-0.17334409983497423,0.00902041727238646,0.36971306867613773,0.39478622729006,-0.12546664262104168,-0.15796386559835404,-0.008157354455674266,0.2768471969021858,0.2263191730612738,-0.16173879839390362,0.30773727992022376,0.5972916130215647,-0.7503562881572572,,,1.0
NK.cells.activated,0.10590638378187532,0.13967017732635742,0.2000485759492583,-0.019149558184039985,0.05422505280179632,0.06680066181274846,-0.18806424562479515,-0.10399163380064587,-0.07127918177551806,0.3327676605582644,0.15867681888593982,0.163066291784356,-0.23455289419844255,-0.1883034192614507,0.8677859643255911,0.1338839788664894,-0.33660500168925317,0.21263488091342647,-0.8046767806304185,0.9904117482059651,-1.0,
Monocytes,-0.0403506862114094,-0.04772331102964343,0.10393774338800506,0.17889666297302065,0.2603463133505159,0.1191342115333892,0.20273985578934056,0.2799349440676847,-0.09945924855402552,0.019178721088805164,0.0831430048969697,-0.04305146360103727,-0.025208117879111373,0.04699402330542345,0.3185195053174697,0.7780335079379892,-0.5838303055947182,0.47265587520483493,0.8978798380544939,0.2641262646418211,-0.9999999999999998,0.9999999999999999
Macrophages.M0,0.016117919454173603,0.015291169353486145,-0.02625216967335652,0.17932989507090183,-0.04502212588564233,0.06154010626643212,-0.011942618496133657,0.05681764941950659,0.008659548220968167,0.48233287803703323,-0.1903433172380141,-0.15180909322137268,0.0553615338813762,-0.006976902697299393,0.15877038995946433,-0.21437616464175896,,-0.6508320320958214,,,,
Macrophages.M1,0.23865165314339595,0.019679497535342205,0.16315634956706376,0.23896578895348017,0.2789685096906413,0.27258230511694986,0.19017691448315935,0.2103624275912392,0.06222075769911907,0.4371275299023003,0.024534252746809683,0.023422607614994845,-0.08003514757784422,0.05061367816556376,-0.3912803164448747,-0.3013372887824343,-0.048180799413903144,-0.07836688036227356,,0.6238182074080882,0.9999999999999998,-0.9999999999999999
Macrophages.M2,0.36504907640061696,-0.07290408237739554,0.0067968622236565775,0.10192432835224746,-0.03408880415615686,0.051644018377281845,0.1805740608318736,0.07325916246303478,0.05104324866888416,0.21329717683557625,-0.03976774101673816,0.09455893600866161,0.2644249097017686,-0.2592453986334034,-0.16351629284827182,-0.02038072470825483,0.19521601886432713,0.6646811753320858,0.10101308879255783,0.4817870458948979,-1.0,-1.0
Dendritic.cells.resting,0.017123772403248912,0.1566259522432008,0.06374318601810589,-0.13137434932745576,-0.013518426894619795,-0.1379230376234737,0.4688668583639394,0.023116020795746928,0.1641425338496544,-0.011471101240767665,-0.022658850930735348,0.7534957663246262,-0.11395295620564412,-0.005864952673731229,-0.17810450750418438,0.8045932512242998,0.2371240455486801,0.02218660744674926,,0.9995885894059706,-1.0,1.0
Dendritic.cells.activated,-0.10463657679103973,0.10570604281714598,-0.05054317311135413,-0.04737616689429346,0.3741814210531713,0.03763557272031126,0.8973435194429983,0.30710420064071636,0.02202753370323828,0.1725237179137692,-0.06032400016583722,0.06267451984018041,0.3290648436235697,0.053800526009418904,0.13373339263454093,,0.3000544555761593,0.989196058024596,-0.9086852204597474,-0.668973318540447,,
Mast.cells.resting,0.11059519310538009,0.08595788240118511,0.06631560106803051,0.2733495875917739,0.4669903020973347,0.10359115492330213,-0.08789884314328672,-0.023715669390293875,-0.052026444970010376,0.38503355915183224,0.4602097820180983,-0.17720037694948426,0.017247704724420214,-0.00824616667923699,-0.06570391485857903,-0.0362284889296197,0.6159513911782818,-0.11465536719024437,-0.6500411138286623,0.714499093827929,1.0,
Mast.cells.activated,0.059073090076656565,-0.061172389004783154,0.19595388087759247,0.42054800153335664,0.2761801896347091,-0.03436145589242043,0.030578230184471512,-0.03967800164664117,0.08950118803475886,0.0737439610981112,0.14566474160019474,-0.006873412725445122,0.5798797308681636,0.2192120706605623,0.530318967183844,0.5542876434743833,0.054701225813777184,,-0.5000000000000001,0.027631907770819863,,1.0
Eosinophils,-0.0407145381828958,-0.05397660740310641,0.02553291312777739,-0.05793590088481475,-0.03307794637089884,0.6803807032754199,,0.35589735420545177,0.0698378308097705,0.2347212001255613,-0.03536587012806454,-0.06289324783161364,-0.07068491672129362,-0.13631048765025436,-0.1364485559281315,,0.07556188222840153,,,,,
Neutrophils,0.03895520585934526,0.10503838193631884,0.5119515896039024,0.25678994476064304,0.2711290696313614,0.0642510921499002,-0.05367071365658342,-0.06707423933019638,-0.12037295850763108,0.28958276289646573,-0.018688057122342932,0.06249051926744332,0.3214008327984604,0.233100787994027,-0.19536542842674265,0.010731601483668352,0.2203510783528392,0.7963115449540978,1.0,,,
T.cells.all,0.3110891393126954,0.019829925101382474,-0.012924681651432233,0.2656948609406025,0.22858789349323377,-0.008613849440206142,0.1314479140449401,-0.11556476780417389,-0.055599432330902726,0.16776901047431947,0.14794822569273405,-0.24878953097200254,0.22587813034639112,0.5632488981911788,0.4646342291686676,0.31943977748193536,-0.3486066629813678,-0.9479771121738237,0.10504073288979308,0.9938682374895019,-1.0,1.0
B.cells.all,0.2870665145500647,0.2042059065600053,0.17184409111567986,0.21134070010367315,0.259549046412908,0.025735779982221575,-0.15070758801356518,0.05850042888660844,-0.13763652797455933,-0.019708488379582525,0.17368641608624763,0.7671166920643216,0.16636099262197582,0.17843428541027584,0.28523355456344757,0.08111955325151549,-0.18546134315106036,-0.13648745610248308,-0.9669368444202011,-0.5265651138772698,-0.9999999999999999,-1.0
Nk.cells.all,0.08839438853517423,0.09492248383316901,0.16964014714245312,0.1475679547457844,0.1300115326353219,0.30353364888938944,0.06922498062125769,0.17987998361212532,0.04284224220860959,0.1540815472661853,0.2522889970756598,-0.07320820417296753,-0.188325467946168,0.1452652979729662,0.1830876341608885,-0.034281771528094036,-0.3439264958094183,0.5730613592722574,-0.9343180675734059,0.9911592892280949,-1.0,-0.9999999999999998
Macrophages.all,0.3150445553029931,-0.03630863006236013,0.10166162626762884,-0.026273693358226324,0.0783720228144919,0.21085120882038613,0.14543856215684223,-0.06515906709257241,-0.04531823759220699,0.16893315801307782,-0.023549748381582736,0.15309689106735666,0.1232072514536165,-0.056374942539607266,-0.2613758989408062,-0.0658348192574881,-0.015932541227093984,-0.7814510795937994,-0.7405166131397267,-0.9712771821593775,-1.0,-1.0
Dendritic.cells.all,-0.011299686984693339,0.13478884256026824,0.04099883929072502,0.010271199661393516,0.039401842736512246,0.02310156284070047,0.4754275709394596,0.30786360338713753,0.17553966461475337,0.19190573315166257,-0.01008246198095973,-0.01431309310587643,0.2683096505027717,0.1103811932700719,0.11233197025061886,0.7858389514224328,0.010035803906448782,-0.07474213228936669,-0.8721039246214501,-0.8427974717442539,-1.0,1.0
Mast.cells.all,0.134032811191808,0.029807877541234002,0.056344853140910894,0.059426845081090696,0.4406516492903741,0.03696539543798232,-0.0792219440445433,-0.15911226691308558,0.12382019202973538,0.06554882372702098,0.40768715676782175,-0.20046207203696506,-0.19037664412522898,-0.2112215751719077,-0.3630689233708367,-0.14148894520825944,-0.39852555570063714,0.051782178375390564,-0.91972409448132,0.8827943290304491,1.0,1.0
Leukocytes.all,0.0012865066502477345,0.057553865872561824,0.019884538847971235,0.032776915392060034,-0.18307103592556184,-0.07677593886933272,0.020968826218929714,-0.007630928482867817,0.07240154059726742,-0.15963461652662517,-0.0841548513681684,0.01319140174443864,0.12771230909059436,0.04378978809844386,0.4848105221385008,0.45501575519329013,-0.25241260113576186,0.4872985191852102,0.8,-0.2927700218845599,0.7999999999999999,-0.9938837346736189
